Year,Team,MeasureName,MeasureType,MeasureValue
2016,Gujrat Lions,Matches,Matches,16
2017,Gujrat Lions,BowlingEconomy,Bowling,9.123794212
2016,Gujrat Lions,BowlingEconomy,Bowling,8.273809524
2017,Gujrat Lions,WicketsPerOver,Bowling,0.225080386
2016,Gujrat Lions,WicketsPerOver,Bowling,0.248015873
2017,Gujrat Lions,TotalWickets,Bowling,56
2016,Gujrat Lions,TotalWickets,Bowling,75
2017,Gujrat Lions,WicketsPerMatch,Bowling,4
2016,Gujrat Lions,WicketsPerMatch,Bowling,4.6875
2017,Gujrat Lions,Innings,Batting,9.090909091
2016,Gujrat Lions,Innings,Batting,9.615384615
2017,Gujrat Lions,NotOuts,Batting,2.090909091
2016,Gujrat Lions,NotOuts,Batting,1.923076923
2017,Gujrat Lions,HighScore ,Batting,208.0909091
2016,Gujrat Lions,HighScore ,Batting,177.6153846
2017,Gujrat Lions,RunsScored,Batting,163.5
2016,Gujrat Lions,RunsScored,Batting,144.3125
2017,Gujrat Lions,BallsFaced,Batting,113.7857143
2016,Gujrat Lions,BallsFaced,Batting,112.6875
2017,Gujrat Lions,StrikeRate,Batting,140.2572727
2016,Gujrat Lions,StrikeRate,Batting,125.4176923
2017,Gujrat Lions,100s,Batting,0
2016,Gujrat Lions,100s,Batting,0
2017,Gujrat Lions,50s,Batting,0.857142857
2016,Gujrat Lions,50s,Batting,0.9375
2017,Gujrat Lions,4s,Batting,15.57142857
2016,Gujrat Lions,4s,Batting,15.0625
2017,Gujrat Lions,6s,Batting,6.5
2016,Gujrat Lions,6s,Batting,3.9375
2017,Gujrat Lions,MatchesWon,Batting,4
2016,Gujrat Lions,MatchesWon,Batting,9
2019,Kings Xi Punjab,Matches,Matches,14
2018,Kings Xi Punjab,Matches,Matches,14
2017,Kings Xi Punjab,Matches,Matches,14
2016,Kings Xi Punjab,Matches,Matches,14
2015,Kings Xi Punjab,Matches,Matches,14
2014,Kings Xi Punjab,Matches,Matches,17
2019,Kings Xi Punjab,BowlingEconomy,Bowling,8.923913043
2018,Kings Xi Punjab,BowlingEconomy,Bowling,8.64579404
2017,Kings Xi Punjab,BowlingEconomy,Bowling,8.440295605
2016,Kings Xi Punjab,BowlingEconomy,Bowling,8.419838524
2015,Kings Xi Punjab,BowlingEconomy,Bowling,8.732996502
2014,Kings Xi Punjab,BowlingEconomy,Bowling,8.298579631
2019,Kings Xi Punjab,WicketsPerOver,Bowling,0.25
2018,Kings Xi Punjab,WicketsPerOver,Bowling,0.28668427
2017,Kings Xi Punjab,WicketsPerOver,Bowling,0.280046674
2016,Kings Xi Punjab,WicketsPerOver,Bowling,0.242214533
2015,Kings Xi Punjab,WicketsPerOver,Bowling,0.252623397
2014,Kings Xi Punjab,WicketsPerOver,Bowling,0.314294349
2019,Kings Xi Punjab,TotalWickets,Bowling,69
2018,Kings Xi Punjab,TotalWickets,Bowling,76
2017,Kings Xi Punjab,TotalWickets,Bowling,72
2016,Kings Xi Punjab,TotalWickets,Bowling,63
2015,Kings Xi Punjab,TotalWickets,Bowling,65
2014,Kings Xi Punjab,TotalWickets,Bowling,104
2019,Kings Xi Punjab,WicketsPerMatch,Bowling,4.928571429
2018,Kings Xi Punjab,WicketsPerMatch,Bowling,5.428571429
2017,Kings Xi Punjab,WicketsPerMatch,Bowling,5.142857143
2016,Kings Xi Punjab,WicketsPerMatch,Bowling,4.5
2015,Kings Xi Punjab,WicketsPerMatch,Bowling,4.642857143
